x	y	sd
246.27	357.61	28.369
1157.8	946.96	10.781
1165.4	970.49	10.524
1264.1	475.63	24.871
1525.4	214.52	7.005
42.924	1735.6	14.987
1146	971.13	14.085
1163.7	971.84	8.205
1145.9	976.9	10.663
1290.2	31.371	29.394
1246.7	483.41	12.441
681.21	701.57	10.737
559.69	1310.3	13.561
189.4	1276.2	21.064
194.81	1245.5	24.902
1002.8	1.191	4.224
1992.1	1682.1	24.579
1906.2	357.72	12.864
1890.1	367.78	14.593
1903.1	368.26	13.22
1857.7	355.65	22.025
945.77	331.34	4.952
955.41	333.75	3.279
1259.7	1751.8	21.631
950.02	333.93	3.448
1245.9	439.73	15.358
1249.5	465.92	14.793
1251.3	448.98	12.606
54.313	1761.4	15.517
1261.2	426.91	13.82
78.5	1763.7	17.802
78.498	1776.6	20.087
1260.2	1107.9	8.154
1246.8	1128.5	8.788
1240.6	1131.5	7.491
1240.4	1119.5	8.42
1248.1	1123.7	8.238
1251.2	1130.3	7.659
1250.5	1136.7	8.779
1248.3	1129.8	7.799
1917.2	420.55	21.642
1834.8	397.2	17.465
1901.9	493.37	6.315
1906.9	384.28	14.297
1164.7	936.73	18.562
1607.3	559.51	19.463
1474.8	582.42	4.167
1463.5	1866.8	22.746
1313.7	1833.2	26.499
1694.9	286.34	14.359
1665.4	311.55	6.096
1758.5	79.539	6.323
1758.2	111.52	3.638
1772.6	92.301	3.878
1774.4	99.102	3.807
1774.6	84.305	7.184
483.69	1960.5	8.096
186	980.22	16.13
478.33	1924.5	10.045
1791.4	112.28	10.386
246.89	1044.7	8.163
1771.9	93.064	3.835
1771.4	103.91	3.943
1773.8	94.227	4.114
463.85	569.55	3.96
1791	58.033	17.465
471.66	559.53	3.869
468.96	561.96	3.888
944.87	331.16	3.72
1855.3	1927.6	11.261
1833.6	1903.8	5.425
1848.9	1910.7	5.96
598.15	523.78	4.495
1438.4	1841.6	14.505
826.25	131.5	18.592
786.88	94.094	15.706
773.43	64.363	20.838
877.91	85.271	22.119
600.69	245.28	5.602
596.9	248.58	5.127
592.28	236.49	5.401
595.99	224.15	8.6
595.38	240.37	5.103
592.11	260.09	5.931
1574	570.45	31.033
1316.1	215.34	12.191
1371.3	242.43	13.907
611.08	263.28	12.308
1336	228.4	14.716
594.42	262.03	6.154
1640.5	298.32	19.437
604.2	261.53	6.036
1307	221.95	14.26
1464	200.46	4.953
1467.2	195.68	4.889
1457.5	195.73	4.988
1470	205.08	5.041
1452.2	200.9	4.867
560.35	206.22	15.493
1455.3	197.46	4.466
570.7	253.83	16.134
1458.5	206.89	5.298
381.82	1353.1	19.389
576.84	240.92	6.216
585.42	361.42	5.197
604.34	495.66	3.898
585.98	447.07	25.769
1792.9	356.23	19.715
1295.8	1880.7	12.626
694.4	695.6	14.488
690.7	657.98	9.715
672.35	692.26	10.323
695.22	696.94	9.435
423	864.3	13.578
1990.4	1660.9	8.86
484.4	1948.3	11.464
471.76	1144.3	8.169
466.41	1144.7	6.772
471.23	1141.9	6.664
463.76	1147.7	8.145
485.41	1165.8	20.044
471.3	1144.3	8.576
728.32	462.92	5.714
1989.4	1636	19.128
1963.8	171.32	23.687
1950.9	152.26	17.561
1947.6	208.7	13.004
1947.6	177.66	15.324
1948.1	173.5	18.337
1958.1	173.29	15.298
1486.2	284.69	6.265
569.29	159.5	14.605
469.92	1123.9	17.766
1479.7	594.6	10.248
1507.9	610.21	20.192
677.22	1208.8	24.444
1858.8	890.85	26.361
651.42	1170.1	20.891
713.66	693.44	8.707
1999.5	1622.6	15.861
330.73	29.039	11.261
350.12	16.457	6.064
332.09	31.285	6.146
346.41	23.52	5.964
689.38	1216.9	20.094
761.63	1817.5	23.203
174.65	867.57	8.494
594.73	1329.5	15.749
157.44	508.33	18.753
200.64	479.46	22.735
225.51	528.92	21.899
610.76	1306.8	11.117
940.92	834.07	12.046
213.88	592.14	22.085
501.07	565.17	23.348
477.78	559.01	3.683
467.44	564.38	15.873
980.53	774.68	24.033
1004.2	813.09	9.64
982.33	814.52	10.508
984.63	4.287	21.019
985.18	813.55	9.955
964.58	808.18	11.602
979.69	830.64	9.762
974.58	829.82	11.254
997.81	812.73	10.825
1003.3	815.84	14.903
320.41	757.64	15.928
294.65	750.45	13.608
1239.6	76.689	25.209
306.61	745.01	15.397
347.09	797.38	14.993
272.37	784.78	15.157
631.72	1734	21.046
757.2	1939.5	27.495
271.24	983.63	5.288
278.97	981.18	4.659
273.33	989.76	4.665
281.2	987.79	5.008
784.99	1993.7	20.445
476.57	561.43	3.735
464.14	575.36	3.997
1234	1154.2	13.59
1237.7	1144.1	7.545
867.62	1795.9	24.656
947.21	337.26	5.079
1241	1103.2	9.079
935.28	344.97	4.742
1230.2	1118.8	9.358
1242.3	1133.9	7.84
1214.3	442.62	20.076
1268.7	447.08	12.266
879.69	1921.3	28.09
1256.2	454.32	13.011
1280.5	463.58	12.603
916.78	1883.2	19.825
1255.3	446.36	12.804
1234.3	432.39	12.212
923.89	1813.9	24.24
1286	440.17	12.168
1771.1	90.086	8.532
1284.7	1296.6	9.004
1766.8	100.34	5.09
1256.5	428.76	13.413
1285.4	1293.8	4.685
1274	1294.6	4.661
1277	463.4	14.215
1227.7	466.32	14.355
1291.9	1326.5	9.013
1278.9	1295.3	5.827
1282	465.08	13.103
1231	478.93	22.459
828.92	1999.1	20.606
416.25	1113.4	14.206
621.43	185.15	3.776
465.2	1018.5	18.762
628.11	187.56	3.768
450.95	1104.3	15.678
629.28	192.44	3.762
627.69	180.22	4.113
1829.4	1973.9	4.359
1825.8	1972.5	4.568
1828	1965.4	5.506
1837.8	1918.7	5.812
1827.7	1894.6	6.282
1820.4	1911.4	6.244
1833	1918.1	6.025
1832.2	1913.8	9.917
1761.3	96.061	4.098
1778.1	94.713	4.333
1807.6	108.55	4.044
1349.2	1582.7	19.612
1358.8	1769.7	20.866
657.44	1989.5	26.239
1757.9	129.81	13.482
1771.3	100.44	4.029
1763.9	98.121	3.884
1756.2	105.74	6.674
1918.9	1790.5	6.385
360.07	104.97	10.257
1935	1762.9	6.671
374.1	104.18	9.783
1920.4	1775.4	7.323
1913.2	1777.4	8.324
1920.7	1799.4	12.056
360.88	623.23	30.66
979.72	805.54	16.659
984.98	792.52	12.642
1440	1871.3	27.949
1409.9	1074.6	8.53
1378.8	1082.5	11.293
1359.7	1068.2	10.128
1358.4	1079	11.279
1393.1	1082.1	8.992
1377.4	1078.9	11.057
1856.2	1684.4	23.419
1372.8	1072.2	10.762
305.24	768.73	19.791
1416.7	1083.8	10.859
1379.3	1050.5	9.304
1369.6	1082.2	10.615
313.92	779.76	17.865
1372.9	1053.1	10.538
303.26	791.49	13.627
1404.3	1071.3	8.91
1356.6	1058	9.964
1386.3	1060.3	9.005
1669.3	301.97	5.253
1663.4	303.51	4.664
1667.6	298.36	5.022
1670.5	303.7	4.596
1665.4	362.2	16.478
1843	598.36	29.722
1885.2	1745.7	28.511
226.36	106.31	15.972
1273.7	1127	7.677
1245.9	1130	7.169
1241	1164.5	7.808
472.26	554.59	3.557
479.79	556.74	15.074
1405	28.418	15.276
1355.3	32.641	18.029
1417.3	56.719	18.233
1400.5	25.748	21.176
1277.9	15.223	18.168
1427.4	17.725	15.065
1841.7	1942.8	11.152
730.88	831.54	5.326
1849.4	1924.6	5.63
727.18	825.02	5.609
1843.8	1916.4	5.303
625.94	142.07	13.2
1197.6	1123.4	13.506
1843.9	1925.6	6.019
601.36	157.34	15.422
1173.6	1082.6	9.625
1853.8	1924	5.767
625.43	172.65	13.329
1170.3	1081.5	8.424
601.49	146.14	11.685
1191.4	1049.6	18.758
630.33	162.72	12.579
588.42	110.02	14.279
612.32	1313	12.447
998.72	16.807	16.085
588.45	1335	7.225
1391.9	1850.6	24.49
1423	1818.5	17.858
1393.4	1804.1	18.03
1432.3	1763.2	23.505
1428.9	1850.4	15.683
1892.1	535.63	11.715
1457.3	1839.7	17.395
740.33	468.84	5.577
1427.7	1864.8	18.071
734.47	458.79	3.672
1481.2	1780.1	19.454
748.83	460.75	3.625
1386.8	1824.6	19.509
1461.1	1791	19.841
1514.4	1772	13.549
1494.3	1739.6	11.153
1467.1	1888.9	19.444
1358.3	1302.3	17.302
1450.4	1805.1	20.128
1455.7	1861.2	16.138
363.79	33.113	12.078
346	27.914	6.515
370.41	22.848	6.687
330.18	37.824	9.833
212.37	944.67	9.693
227.3	916.25	9.628
326.82	986.26	12.245
271.45	735.35	14.207
434.83	1132.9	13.594
474.11	1128.9	19.604
415.38	1140	16.593
1184.2	1079	12.203
1153.1	1096.5	8.642
479.04	1148.7	7.885
1161.9	1052.2	8.95
476.08	1155.7	8.212
1170.4	1068.8	8.795
471.77	1159.3	7.874
1154.8	1082.3	8.674
502.27	1054	9.191
624.7	313.72	3.64
614.53	368	3.274
616.08	360.25	3.52
489.5	1136.3	7.06
630.47	186.29	3.772
483.61	1152.8	7.411
634.51	182.5	3.863
465.43	1134.6	7.549
626.31	198.57	3.545
644.75	185.18	5.52
1302.9	1906.9	24.531
130.57	471.78	6.698
698.19	693.89	7.254
697.74	688	8.649
685.2	710.67	7.286
1505	580.59	16.744
708.63	695.73	9.083
1457.8	56.229	26.526
1500.5	276.96	6.742
1419.8	29.254	15.324
1471.2	972.22	20.161
1346	6.289	15.567
1474.7	980.87	12.177
1409.6	52.398	15.481
1433	967.6	11.21
1453.3	942.13	9.832
1435.7	893.25	12.366
1458.8	934.41	15.078
1444.1	959.5	16.685
380.63	133.6	14.021
1469.5	960.22	11.542
1817.5	1921.9	14.411
1807.4	1958.7	13.522
1277.6	1120.8	11.779
1273	1135.7	8.66
1827.4	1900.4	13.325
334.13	780.54	19.583
1278.1	1102.3	22.496
337	798.44	17.838
1849.7	1976.1	18.765
316.68	755.75	17.235
1800.8	1940.5	18.93
733.87	561.64	7.022
739.42	573.23	6.655
732.54	573.75	7.832
729.6	571.67	7.444
1462.6	1846.9	18.895
737.93	567.47	7.252
1661.1	295.66	4.731
755.66	551.63	7.438
1666.9	293.48	4.367
722.72	560.02	6.678
722.3	555.56	8.072
727.92	582.68	6.557
754.44	612.74	7.883
106.87	1744.8	16.644
807.74	653.46	8.007
1443.8	947.6	13.331
68.242	1758.1	15.468
737.46	574.06	6.993
1500.7	984.62	12.552
101.09	1781.8	16.921
