x	y	sd
1991.7	1263.2	10.312
37.595	1505.7	12.89
362.78	1431	11.36
400.13	1447.7	14.718
57.752	1480.2	13.036
44.928	1438	11.861
1994.1	1287.7	9.476
43.897	1471	14.082
383.88	870.71	30.901
116.39	604.52	15.979
157.46	674.23	23.048
593.21	1687.9	8.54
127.76	640.47	13.746
606.78	1702.4	8.157
918.58	1000.5	8.187
936.9	996.63	4.583
941.22	1011.4	4.408
626	1679.4	10.232
593.26	1687.7	7.902
613.83	1709.2	8.279
640.21	1702.5	9.962
1748.6	457.96	12.354
1988.4	1260.4	16.495
139.1	483.35	18.828
1980.7	1235.8	18.314
87.69	1470.6	17.535
27.259	1479.7	11.379
49.741	1467.9	10.322
92.08	1544.7	20.626
43.164	1481.3	10.644
274.6	1290	20.237
202.26	1328.9	12.321
164.55	1315.2	18.015
879.08	567.41	16.68
940.11	469.51	24.346
975.22	521.78	19.833
943.72	478	18.47
936.94	460.9	19.433
1113.4	212.85	23.937
50.85	1360.2	7.711
57.4	1320.4	18.161
1163.8	240.38	25.941
1719.3	518.95	11
1723.8	513.41	5.123
1727.5	505.38	5.953
62.213	1413.6	20.584
1705.6	507.61	5.575
1704.4	510	6.042
55.73	1335.1	19.249
452.28	281.45	6.602
1995.6	1342	8.829
434.2	291.96	18.68
1949.3	1475.9	8.692
44.119	1403.9	15.054
1948.9	1481.3	8.324
18.628	1342.3	17.784
1946.3	1426.3	7.945
1950.6	1442	7.744
1975.6	1430.1	7.455
1962.3	1440.8	7.955
1951.8	1465.5	7.371
1970.6	1451.3	8.032
1970.6	1430.4	7.736
603.56	895.2	8.921
